Check,N_Wire,D_W,Measured,Force,Initial,Force_Max
n,2,12.7,0.016191434,0,0.016152,22
y,2,12.7,0.016152,0,0.016152,22
y,2,12.7,0.015774853,2,0.016152,22
y,2,12.7,0.015282718,4,0.016152,22
y,2,12.7,0.014500841,6,0.016152,22
y,2,12.7,0.013973569,8,0.016152,22
y,2,12.7,0.013486663,10,0.016152,22
y,2,12.7,0.01280028,12,0.016152,22
y,2,12.7,0.012473701,14,0.016152,22
y,2,12.7,0.012127626,16,0.016152,22
y,2,12.7,0.011746592,18,0.016152,22
y,2,12.7,0.011216504,20,0.016152,22
y,2,12.7,0.010755511,22,0.016152,22
n,2,12.7,0.011336058,20,0.016152,22
n,2,12.7,0.011804402,18,0.016152,22
n,2,12.7,0.012317907,16,0.016152,22
n,2,12.7,0.012693391,14,0.016152,22
n,2,12.7,0.013363041,12,0.016152,22
n,2,12.7,0.013810177,10,0.016152,22
n,2,12.7,0.014117164,8,0.016152,22
n,2,12.7,0.014505235,6,0.016152,22
n,2,12.7,0.015382709,4,0.016152,22
n,2,12.7,0.015783729,2,0.016152,22
n,2,12.7,0.016179841,0,0.016152,22
y,2,12.7,0.016152,0,0.016152,22
y,2,12.7,0.015715785,2,0.016152,22
y,2,12.7,0.015333908,4,0.016152,22
y,2,12.7,0.01491444,6,0.016152,22
y,2,12.7,0.014406578,8,0.016152,22
y,2,12.7,0.013993642,10,0.016152,22
y,2,12.7,0.013421713,12,0.016152,22
y,2,12.7,0.01298913,14,0.016152,22
y,2,12.7,0.012498118,16,0.016152,22
y,2,12.7,0.012011521,18,0.016152,22
y,2,12.7,0.011687367,20,0.016152,22
y,2,12.7,0.01124599,22,0.016152,22
n,2,12.7,0.011969449,20,0.016152,22
n,2,12.7,0.012332299,18,0.016152,22
n,2,12.7,0.01264158,16,0.016152,22
n,2,12.7,0.013080307,14,0.016152,22
n,2,12.7,0.013582309,12,0.016152,22
n,2,12.7,0.014022339,10,0.016152,22
n,2,12.7,0.014457174,8,0.016152,22
n,2,12.7,0.015001252,6,0.016152,22
n,2,12.7,0.015437835,4,0.016152,22
n,2,12.7,0.016024596,2,0.016152,22
n,2,12.7,0.016465973,0,0.016152,22
y,2,12.7,0.016152,0,0.016152,22
y,2,12.7,0.015787084,2,0.016152,22
y,2,12.7,0.015285591,4,0.016152,22
y,2,12.7,0.014654118,6,0.016152,22
y,2,12.7,0.014101659,8,0.016152,22
y,2,12.7,0.013852329,10,0.016152,22
y,2,12.7,0.013090345,12,0.016152,22
y,2,12.7,0.012682598,14,0.016152,22
y,2,12.7,0.012135872,16,0.016152,22
y,2,12.7,0.011652161,18,0.016152,22
y,2,12.7,0.011136037,20,0.016152,22
y,2,12.7,0.010541542,22,0.016152,22
n,2,12.7,0.011146222,20,0.016152,22
n,2,12.7,0.011662037,18,0.016152,22
n,2,12.7,0.012137835,16,0.016152,22
n,2,12.7,0.012840517,14,0.016152,22
n,2,12.7,0.013399152,12,0.016152,22
n,2,12.7,0.013908385,10,0.016152,22
n,2,12.7,0.014318704,8,0.016152,22
n,2,12.7,0.014675786,6,0.016152,22
n,2,12.7,0.015289661,4,0.016152,22
n,2,12.7,0.015817982,2,0.016152,22
n,2,12.7,0.016226944,0,0.016152,22
y,2,12.7,0.016152,0,0.016152,22
y,2,12.7,0.015766503,2,0.016152,22
y,2,12.7,0.015403957,4,0.016152,22
y,2,12.7,0.014891807,6,0.016152,22
y,2,12.7,0.014256114,8,0.016152,22
y,2,12.7,0.013805386,10,0.016152,22
y,2,12.7,0.013037839,12,0.016152,22
y,2,12.7,0.012556027,14,0.016152,22
y,2,12.7,0.012194204,16,0.016152,22
y,2,12.7,0.011718234,18,0.016152,22
y,2,12.7,0.011399553,20,0.016152,22
y,2,12.7,0.010802232,22,0.016152,22
n,2,12.7,0.011455973,20,0.016152,22
n,2,12.7,0.01183203,18,0.016152,22
n,2,12.7,0.012232589,16,0.016152,22
n,2,12.7,0.012703597,14,0.016152,22
n,2,12.7,0.013098958,12,0.016152,22
n,2,12.7,0.013861655,10,0.016152,22
n,2,12.7,0.014289417,8,0.016152,22
n,2,12.7,0.014939167,6,0.016152,22
n,2,12.7,0.015569599,4,0.016152,22
n,2,12.7,0.015902948,2,0.016152,22
n,2,12.7,0.016357052,0,0.016152,22
y,2,12.7,0.016152,0,0.016152,22
y,2,12.7,0.015770691,2,0.016152,22
y,2,12.7,0.015426721,4,0.016152,22
y,2,12.7,0.014689495,6,0.016152,22
y,2,12.7,0.014282078,8,0.016152,22
y,2,12.7,0.013822725,10,0.016152,22
y,2,12.7,0.013232875,12,0.016152,22
y,2,12.7,0.012932154,14,0.016152,22
y,2,12.7,0.012513794,16,0.016152,22
y,2,12.7,0.012234534,18,0.016152,22
y,2,12.7,0.011816109,20,0.016152,22
y,2,12.7,0.011013529,22,0.016152,22
n,2,12.7,0.011884969,20,0.016152,22
n,2,12.7,0.01239584,18,0.016152,22
n,2,12.7,0.012857661,16,0.016152,22
n,2,12.7,0.013254823,14,0.016152,22
n,2,12.7,0.013878307,12,0.016152,22
n,2,12.7,0.014266031,10,0.016152,22
n,2,12.7,0.014635441,8,0.016152,22
n,2,12.7,0.015097082,6,0.016152,22
n,2,12.7,0.015556649,4,0.016152,22
n,2,12.7,0.016029823,2,0.016152,22
n,2,12.7,0.016331994,0,0.016152,22
y,2,12.7,0.016152,0,0.016152,22
y,2,12.7,0.015619081,2,0.016152,22
y,2,12.7,0.015094528,4,0.016152,22
y,2,12.7,0.014557608,6,0.016152,22
y,2,12.7,0.014138514,8,0.016152,22
y,2,12.7,0.013703839,10,0.016152,22
y,2,12.7,0.012984551,12,0.016152,22
y,2,12.7,0.012623895,14,0.016152,22
y,2,12.7,0.012136211,16,0.016152,22
y,2,12.7,0.011644636,18,0.016152,22
y,2,12.7,0.011295666,20,0.016152,22
y,2,12.7,0.010498621,22,0.016152,22
n,2,12.7,0.01145448,20,0.016152,22
n,2,12.7,0.01194514,18,0.016152,22
n,2,12.7,0.012298575,16,0.016152,22
n,2,12.7,0.012924899,14,0.016152,22
n,2,12.7,0.013455586,12,0.016152,22
n,2,12.7,0.013902809,10,0.016152,22
n,2,12.7,0.014221276,8,0.016152,22
n,2,12.7,0.014853205,6,0.016152,22
n,2,12.7,0.015460482,4,0.016152,22
n,2,12.7,0.015989042,2,0.016152,22
n,2,12.7,0.016282197,0,0.016152,22
y,2,12.7,0.016152,0,0.016152,22
y,2,12.7,0.015740774,2,0.016152,22
y,2,12.7,0.015392747,4,0.016152,22
y,2,12.7,0.015001692,6,0.016152,22
y,2,12.7,0.014419881,8,0.016152,22
y,2,12.7,0.01410247,10,0.016152,22
y,2,12.7,0.01357386,12,0.016152,22
y,2,12.7,0.013093563,14,0.016152,22
y,2,12.7,0.012715735,16,0.016152,22
y,2,12.7,0.012387569,18,0.016152,22
y,2,12.7,0.011938367,20,0.016152,22
y,2,12.7,0.011532749,22,0.016152,22
n,2,12.7,0.012057442,20,0.016152,22
n,2,12.7,0.012581539,18,0.016152,22
n,2,12.7,0.01284173,16,0.016152,22
n,2,12.7,0.013416911,14,0.016152,22
n,2,12.7,0.013854513,12,0.016152,22
n,2,12.7,0.014200216,10,0.016152,22
n,2,12.7,0.014644978,8,0.016152,22
n,2,12.7,0.01512924,6,0.016152,22
n,2,12.7,0.015739707,4,0.016152,22
n,2,12.7,0.016210882,2,0.016152,22
n,2,12.7,0.01643701,0,0.016152,22
y,4,12.7,0.020111627,0,0.020111627,44
y,4,12.7,0.019411402,4,0.020111627,44
y,4,12.7,0.018589182,8,0.020111627,44
y,4,12.7,0.017762752,12,0.020111627,44
y,4,12.7,0.016765272,16,0.020111627,44
y,4,12.7,0.015870221,20,0.020111627,44
y,4,12.7,0.014697585,24,0.020111627,44
y,4,12.7,0.013831398,28,0.020111627,44
y,4,12.7,0.012888484,32,0.020111627,44
y,4,12.7,0.011977304,36,0.020111627,44
y,4,12.7,0.011102516,40,0.020111627,44
y,4,12.7,0.0103,44,0.020111627,44
y,4,12.7,0.020111627,0,0.020111627,44
y,4,12.7,0.019374931,4,0.020111627,44
y,4,12.7,0.018285288,8,0.020111627,44
y,4,12.7,0.017554123,12,0.020111627,44
y,4,12.7,0.016414346,16,0.020111627,44
y,4,12.7,0.015548289,20,0.020111627,44
y,4,12.7,0.014296917,24,0.020111627,44
y,4,12.7,0.013302324,28,0.020111627,44
y,4,12.7,0.012629863,32,0.020111627,44
y,4,12.7,0.011988734,36,0.020111627,44
y,4,12.7,0.01102206,40,0.020111627,44
y,4,12.7,0.010386324,44,0.020111627,44
y,4,12.7,0.020111627,0,0.020111627,44
y,4,12.7,0.019486739,4,0.020111627,44
y,4,12.7,0.018673784,8,0.020111627,44
y,4,12.7,0.017683668,12,0.020111627,44
y,4,12.7,0.01663285,16,0.020111627,44
y,4,12.7,0.015577252,20,0.020111627,44
y,4,12.7,0.014310697,24,0.020111627,44
y,4,12.7,0.013413495,28,0.020111627,44
y,4,12.7,0.012240168,32,0.020111627,44
y,4,12.7,0.011580736,36,0.020111627,44
y,4,12.7,0.010488105,40,0.020111627,44
y,4,12.7,0.009733622,44,0.020111627,44
y,4,12.7,0.020111627,0,0.020111627,44
y,4,12.7,0.019156446,4,0.020111627,44
y,4,12.7,0.018134564,8,0.020111627,44
y,4,12.7,0.017303792,12,0.020111627,44
y,4,12.7,0.016609017,16,0.020111627,44
y,4,12.7,0.015885572,20,0.020111627,44
y,4,12.7,0.014931246,24,0.020111627,44
y,4,12.7,0.013938178,28,0.020111627,44
y,4,12.7,0.012789811,32,0.020111627,44
y,4,12.7,0.012028875,36,0.020111627,44
y,4,12.7,0.010979193,40,0.020111627,44
y,4,12.7,0.009997732,44,0.020111627,44
y,4,12.7,0.020111627,0,0.020111627,44
y,4,12.7,0.019529378,4,0.020111627,44
y,4,12.7,0.018681345,8,0.020111627,44
y,4,12.7,0.017936495,12,0.020111627,44
y,4,12.7,0.016818585,16,0.020111627,44
y,4,12.7,0.015804671,20,0.020111627,44
y,4,12.7,0.014743614,24,0.020111627,44
y,4,12.7,0.014068793,28,0.020111627,44
y,4,12.7,0.01329986,32,0.020111627,44
y,4,12.7,0.012644539,36,0.020111627,44
y,4,12.7,0.011695389,40,0.020111627,44
y,4,12.7,0.010619831,44,0.020111627,44
y,4,12.7,0.020111627,0,0.020111627,44
y,4,12.7,0.019543028,4,0.020111627,44
y,4,12.7,0.018916581,8,0.020111627,44
y,4,12.7,0.017870665,12,0.020111627,44
y,4,12.7,0.017092081,16,0.020111627,44
y,4,12.7,0.016342649,20,0.020111627,44
y,4,12.7,0.015091276,24,0.020111627,44
y,4,12.7,0.014185234,28,0.020111627,44
y,4,12.7,0.013239866,32,0.020111627,44
y,4,12.7,0.012175821,36,0.020111627,44
y,4,12.7,0.011167168,40,0.020111627,44
y,4,12.7,0.010319972,44,0.020111627,44
y,4,12.7,0.020111627,0,0.020111627,44
y,4,12.7,0.019274725,4,0.020111627,44
y,4,12.7,0.018368129,8,0.020111627,44
y,4,12.7,0.017503427,12,0.020111627,44
y,4,12.7,0.016478911,16,0.020111627,44
y,4,12.7,0.015801005,20,0.020111627,44
y,4,12.7,0.014927226,24,0.020111627,44
y,4,12.7,0.013797085,28,0.020111627,44
y,4,12.7,0.013053493,32,0.020111627,44
y,4,12.7,0.01188792,36,0.020111627,44
y,4,12.7,0.011124414,40,0.020111627,44
y,4,12.7,0.010297346,44,0.020111627,44
y,4,12.7,0.020111627,0,0.020111627,44
y,4,12.7,0.019414397,4,0.020111627,44
y,4,12.7,0.018397994,8,0.020111627,44
y,4,12.7,0.017589604,12,0.020111627,44
y,4,12.7,0.016911794,16,0.020111627,44
y,4,12.7,0.016251868,20,0.020111627,44
y,4,12.7,0.015096083,24,0.020111627,44
y,4,12.7,0.014365377,28,0.020111627,44
y,4,12.7,0.013504737,32,0.020111627,44
y,4,12.7,0.012749495,36,0.020111627,44
y,4,12.7,0.011710751,40,0.020111627,44
y,4,12.7,0.011077634,44,0.020111627,44
y,4,12.7,0.020111627,0,0.020111627,44
y,4,12.7,0.019473997,4,0.020111627,44
y,4,12.7,0.018789046,8,0.020111627,44
y,4,12.7,0.017736834,12,0.020111627,44
y,4,12.7,0.01699409,16,0.020111627,44
y,4,12.7,0.016209572,20,0.020111627,44
y,4,12.7,0.014850044,24,0.020111627,44
y,4,12.7,0.013711137,28,0.020111627,44
y,4,12.7,0.012912105,32,0.020111627,44
y,4,12.7,0.011953418,36,0.020111627,44
y,4,12.7,0.011024457,40,0.020111627,44
y,4,12.7,0.010195476,44,0.020111627,44
y,4,12.7,0.020111627,0,0.020111627,44
y,4,12.7,0.019449458,4,0.020111627,44
y,4,12.7,0.018577455,8,0.020111627,44
y,4,12.7,0.01758119,12,0.020111627,44
y,4,12.7,0.016392622,16,0.020111627,44
y,4,12.7,0.015609784,20,0.020111627,44
y,4,12.7,0.014579308,24,0.020111627,44
y,4,12.7,0.013856673,28,0.020111627,44
y,4,12.7,0.012748497,32,0.020111627,44
y,4,12.7,0.011593982,36,0.020111627,44
y,4,12.7,0.010608589,40,0.020111627,44
y,4,12.7,0.009581552,44,0.020111627,44
y,4,12.7,0.020111627,0,0.020111627,44
y,4,12.7,0.019501078,4,0.020111627,44
y,4,12.7,0.018484273,8,0.020111627,44
y,4,12.7,0.017447538,12,0.020111627,44
y,4,12.7,0.016401133,16,0.020111627,44
y,4,12.7,0.015690016,20,0.020111627,44
y,4,12.7,0.01475869,24,0.020111627,44
y,4,12.7,0.013692561,28,0.020111627,44
y,4,12.7,0.012836888,32,0.020111627,44
y,4,12.7,0.011867986,36,0.020111627,44
y,4,12.7,0.011065515,40,0.020111627,44
y,4,12.7,0.010238601,44,0.020111627,44
y,6,12.7,0.021720394,0,0.021720394,66
y,6,12.7,0.02071518,6,0.021720394,66
y,6,12.7,0.01980024,12,0.021720394,66
y,6,12.7,0.01881492,18,0.021720394,66
y,6,12.7,0.0178296,24,0.021720394,66
y,6,12.7,0.01696158,30,0.021720394,66
y,6,12.7,0.0160701,36,0.021720394,66
y,6,12.7,0.01506132,42,0.021720394,66
y,6,12.7,0.01388832,48,0.021720394,66
y,6,12.7,0.0126684,54,0.021720394,66
y,6,12.7,0.011550296,60,0.021720394,66
y,6,12.7,0.01074468,66,0.021720394,66
n,6,12.7,0.01175346,60,0.021720394,66
n,6,12.7,0.01297338,54,0.021720394,66
n,6,12.7,0.01416984,48,0.021720394,66
n,6,12.7,0.01550706,42,0.021720394,66
n,6,12.7,0.01660968,36,0.021720394,66
n,6,12.7,0.01752462,30,0.021720394,66
n,6,12.7,0.018505248,24,0.021720394,66
n,6,12.7,0.01926066,18,0.021720394,66
n,6,12.7,0.02043366,12,0.021720394,66
n,6,12.7,0.02109054,6,0.021720394,66
n,6,12.7,0.0218178,0,0.021720394,66
y,6,12.7,0.021720394,0,0.021720394,66
y,6,12.7,0.020436398,6,0.021720394,66
y,6,12.7,0.019350932,12,0.021720394,66
y,6,12.7,0.01809615,18,0.021720394,66
y,6,12.7,0.016896712,24,0.021720394,66
y,6,12.7,0.015846278,30,0.021720394,66
y,6,12.7,0.015052387,36,0.021720394,66
y,6,12.7,0.013790457,42,0.021720394,66
y,6,12.7,0.012993832,48,0.021720394,66
y,6,12.7,0.011635568,54,0.021720394,66
y,6,12.7,0.010724699,60,0.021720394,66
y,6,12.7,0.010098347,66,0.021720394,66
n,6,12.7,0.010839715,60,0.021720394,66
n,6,12.7,0.011927091,54,0.021720394,66
n,6,12.7,0.013068504,48,0.021720394,66
n,6,12.7,0.014257086,42,0.021720394,66
n,6,12.7,0.015451949,36,0.021720394,66
n,6,12.7,0.016388017,30,0.021720394,66
n,6,12.7,0.017287348,24,0.021720394,66
n,6,12.7,0.018258802,18,0.021720394,66
n,6,12.7,0.019477551,12,0.021720394,66
n,6,12.7,0.020438577,6,0.021720394,66
n,6,12.7,0.021749537,0,0.021720394,66
y,6,12.7,0.021720394,0,0.021720394,66
y,6,12.7,0.021005662,6,0.021720394,66
y,6,12.7,0.020319299,12,0.021720394,66
y,6,12.7,0.019163943,18,0.021720394,66
y,6,12.7,0.017988882,24,0.021720394,66
y,6,12.7,0.017245297,30,0.021720394,66
y,6,12.7,0.016450389,36,0.021720394,66
y,6,12.7,0.015694692,42,0.021720394,66
y,6,12.7,0.014462993,48,0.021720394,66
y,6,12.7,0.01318514,54,0.021720394,66
y,6,12.7,0.011878326,60,0.021720394,66
y,6,12.7,0.010957288,66,0.021720394,66
n,6,12.7,0.011911814,60,0.021720394,66
n,6,12.7,0.013447424,54,0.021720394,66
n,6,12.7,0.014639859,48,0.021720394,66
n,6,12.7,0.016288451,42,0.021720394,66
n,6,12.7,0.017502868,36,0.021720394,66
n,6,12.7,0.01827059,30,0.021720394,66
n,6,12.7,0.019281955,24,0.021720394,66
n,6,12.7,0.019992536,18,0.021720394,66
n,6,12.7,0.021076759,12,0.021720394,66
n,6,12.7,0.021610402,6,0.021720394,66
n,6,12.7,0.02186454,0,0.021720394,66
y,6,12.7,0.021720394,0,0.021720394,66
y,6,12.7,0.020905027,6,0.021720394,66
y,6,12.7,0.020146218,12,0.021720394,66
y,6,12.7,0.019370537,18,0.021720394,66
y,6,12.7,0.018586419,24,0.021720394,66
y,6,12.7,0.017701178,30,0.021720394,66
y,6,12.7,0.016641825,36,0.021720394,66
y,6,12.7,0.015354585,42,0.021720394,66
y,6,12.7,0.013944541,48,0.021720394,66
y,6,12.7,0.012945322,54,0.021720394,66
y,6,12.7,0.012046085,60,0.021720394,66
y,6,12.7,0.011156588,66,0.021720394,66
n,6,12.7,0.012437888,60,0.021720394,66
n,6,12.7,0.013242362,54,0.021720394,66
n,6,12.7,0.014496137,48,0.021720394,66
n,6,12.7,0.015940423,42,0.021720394,66
n,6,12.7,0.016828721,36,0.021720394,66
n,6,12.7,0.01787524,30,0.021720394,66
n,6,12.7,0.018646625,24,0.021720394,66
n,6,12.7,0.019613435,18,0.021720394,66
n,6,12.7,0.020917909,12,0.021720394,66
n,6,12.7,0.021487886,6,0.021720394,66
n,6,12.7,0.021893039,0,0.021720394,66
y,6,12.7,0.021720394,0,0.021720394,66
y,6,12.7,0.020507443,6,0.021720394,66
y,6,12.7,0.019476691,12,0.021720394,66
y,6,12.7,0.018526521,18,0.021720394,66
y,6,12.7,0.017328114,24,0.021720394,66
y,6,12.7,0.016515042,30,0.021720394,66
y,6,12.7,0.015732834,36,0.021720394,66
y,6,12.7,0.014702971,42,0.021720394,66
y,6,12.7,0.013406229,48,0.021720394,66
y,6,12.7,0.012411145,54,0.021720394,66
y,6,12.7,0.011257484,60,0.021720394,66
y,6,12.7,0.010661319,66,0.021720394,66
n,6,12.7,0.011583934,60,0.021720394,66
n,6,12.7,0.012625227,54,0.021720394,66
n,6,12.7,0.013774677,48,0.021720394,66
n,6,12.7,0.014905336,42,0.021720394,66
n,6,12.7,0.015951492,36,0.021720394,66
n,6,12.7,0.016661222,30,0.021720394,66
n,6,12.7,0.017652276,24,0.021720394,66
n,6,12.7,0.018673123,18,0.021720394,66
n,6,12.7,0.019843156,12,0.021720394,66
n,6,12.7,0.020676893,6,0.021720394,66
n,6,12.7,0.021751691,0,0.021720394,66
y,6,12.7,0.021720394,0,0.021720394,66
y,6,12.7,0.020862202,6,0.021720394,66
y,6,12.7,0.020153559,12,0.021720394,66
y,6,12.7,0.019375176,18,0.021720394,66
y,6,12.7,0.01809768,24,0.021720394,66
y,6,12.7,0.016982224,30,0.021720394,66
y,6,12.7,0.016122832,36,0.021720394,66
y,6,12.7,0.015192393,42,0.021720394,66
y,6,12.7,0.013928249,48,0.021720394,66
y,6,12.7,0.013096341,54,0.021720394,66
y,6,12.7,0.011734625,60,0.021720394,66
y,6,12.7,0.01078207,66,0.021720394,66
n,6,12.7,0.011914296,60,0.021720394,66
n,6,12.7,0.013331399,54,0.021720394,66
n,6,12.7,0.014411107,48,0.021720394,66
n,6,12.7,0.01545423,42,0.021720394,66
n,6,12.7,0.016678999,36,0.021720394,66
n,6,12.7,0.017500416,30,0.021720394,66
n,6,12.7,0.018562756,24,0.021720394,66
n,6,12.7,0.019390201,18,0.021720394,66
n,6,12.7,0.02070421,12,0.021720394,66
n,6,12.7,0.021496644,6,0.021720394,66
n,6,12.7,0.021863403,0,0.021720394,66
y,6,12.7,0.021720394,0,0.021720394,66
y,6,12.7,0.020646713,6,0.021720394,66
y,6,12.7,0.019411784,12,0.021720394,66
y,6,12.7,0.018654705,18,0.021720394,66
y,6,12.7,0.017704593,24,0.021720394,66
y,6,12.7,0.016747025,30,0.021720394,66
y,6,12.7,0.01610212,36,0.021720394,66
y,6,12.7,0.014945677,42,0.021720394,66
y,6,12.7,0.013727637,48,0.021720394,66
y,6,12.7,0.012317031,54,0.021720394,66
y,6,12.7,0.011539248,60,0.021720394,66
y,6,12.7,0.010655285,66,0.021720394,66
n,6,12.7,0.011900505,60,0.021720394,66
n,6,12.7,0.012689396,54,0.021720394,66
n,6,12.7,0.014059342,48,0.021720394,66
n,6,12.7,0.015657124,42,0.021720394,66
n,6,12.7,0.016866031,36,0.021720394,66
n,6,12.7,0.017581229,30,0.021720394,66
n,6,12.7,0.018323608,24,0.021720394,66
n,6,12.7,0.019019193,18,0.021720394,66
n,6,12.7,0.020118543,12,0.021720394,66
n,6,12.7,0.021156895,6,0.021720394,66
n,6,12.7,0.021766664,0,0.021720394,66
y,6,12.7,0.021720394,0,0.021720394,66
y,6,12.7,0.020839936,6,0.021720394,66
y,6,12.7,0.019846918,12,0.021720394,66
y,6,12.7,0.018564317,18,0.021720394,66
y,6,12.7,0.017841017,24,0.021720394,66
y,6,12.7,0.016956106,30,0.021720394,66
y,6,12.7,0.016137038,36,0.021720394,66
y,6,12.7,0.015027561,42,0.021720394,66
y,6,12.7,0.014142111,48,0.021720394,66
y,6,12.7,0.013186986,54,0.021720394,66
y,6,12.7,0.012129659,60,0.021720394,66
y,6,12.7,0.011400122,66,0.021720394,66
n,6,12.7,0.012454785,60,0.021720394,66
n,6,12.7,0.013575181,54,0.021720394,66
n,6,12.7,0.014587668,48,0.021720394,66
n,6,12.7,0.015427791,42,0.021720394,66
n,6,12.7,0.016450677,36,0.021720394,66
n,6,12.7,0.017224999,30,0.021720394,66
n,6,12.7,0.0181709,24,0.021720394,66
n,6,12.7,0.018838891,18,0.021720394,66
n,6,12.7,0.020212748,12,0.021720394,66
n,6,12.7,0.021001456,6,0.021720394,66
n,6,12.7,0.021845424,0,0.021720394,66
y,6,12.7,0.021720394,0,0.021720394,66
y,6,12.7,0.020631173,6,0.021720394,66
y,6,12.7,0.019849618,12,0.021720394,66
y,6,12.7,0.018628096,18,0.021720394,66
y,6,12.7,0.017619159,24,0.021720394,66
y,6,12.7,0.016721204,30,0.021720394,66
y,6,12.7,0.015693124,36,0.021720394,66
y,6,12.7,0.014394939,42,0.021720394,66
y,6,12.7,0.013087303,48,0.021720394,66
y,6,12.7,0.012317778,54,0.021720394,66
y,6,12.7,0.010973912,60,0.021720394,66
y,6,12.7,0.010186629,66,0.021720394,66
n,6,12.7,0.01127204,60,0.021720394,66
n,6,12.7,0.012775776,54,0.021720394,66
n,6,12.7,0.01348369,48,0.021720394,66
n,6,12.7,0.014440747,42,0.021720394,66
n,6,12.7,0.015726767,36,0.021720394,66
n,6,12.7,0.016843104,30,0.021720394,66
n,6,12.7,0.01787351,24,0.021720394,66
n,6,12.7,0.018668644,18,0.021720394,66
n,6,12.7,0.020066456,12,0.021720394,66
n,6,12.7,0.020710676,6,0.021720394,66
n,6,12.7,0.021738617,0,0.021720394,66
